OrderID,OrderDate,CustomerID,Region,Category,Quantity,Price,Sales
ORD1040,2022-04-23,CUST002,Yogyakarta,Books,2,1284048,2568096
ORD1041,2022-02-04,CUST001,Jakarta,Sports,1,530125,530125
ORD1042,2022-05-02,CUST003,Makassar,Home & Kitchen,1,1128263,1128263
ORD1043,2022-03-09,CUST018,Bali,Beauty,2,1180855,2361710
ORD1044,2022-08-31,CUST047,Yogyakarta,Books,4,559602,2238408
ORD1045,2022-08-09,CUST027,Bandung,Electronics,1,1431986,1431986
ORD1046,2022-01-28,CUST023,Medan,Beauty,4,1861596,7446384
ORD1047,2022-07-26,CUST044,Bali,Sports,1,177113,177113
ORD1048,2022-04-08,CUST047,Surabaya,Electronics,2,451793,903586
ORD1049,2022-05-23,CUST035,Medan,Clothing,4,434802,1739208
ORD1050,2022-10-09,CUST030,Bandung,Electronics,4,1744545,6978180
ORD1051,2022-01-08,CUST007,Jakarta,Sports,5,1803276,9016380
ORD1052,2022-09-06,CUST006,Makassar,Clothing,2,902312,1804624
ORD1053,2022-07-14,CUST031,Bandung,Beauty,1,395269,395269
ORD1054,2022-08-05,CUST001,Medan,Home & Kitchen,4,648210,2592840
ORD1055,2022-04-08,CUST045,Bali,Books,4,374632,1498528
ORD1056,2022-10-05,CUST019,Bandung,Electronics,5,1592952,7964760
ORD1057,2022-10-27,CUST004,Bali,Home & Kitchen,1,155156,155156
ORD1058,2022-09-18,CUST031,Yogyakarta,Books,2,169285,338570
ORD1059,2022-02-04,CUST006,Makassar,Clothing,1,1297879,1297879
ORD1060,2022-10-19,CUST044,Makassar,Clothing,4,301420,1205680
ORD1061,2022-02-11,CUST016,Yogyakarta,Books,1,1348937,1348937
ORD1062,2022-06-11,CUST027,Bali,Books,5,1146354,5731770
ORD1063,2022-05-16,CUST017,Bandung,Sports,3,550560,1651680
ORD1064,2022-06-11,CUST026,Bandung,Sports,3,1008869,3026607
ORD1065,2022-10-16,CUST049,Jakarta,Electronics,4,1352665,5410660
ORD1066,2022-05-16,CUST007,Jakarta,Books,2,1110917,2221834
ORD1067,2022-05-26,CUST009,Surabaya,Electronics,2,824954,1649908
ORD1068,2022-12-01,CUST011,Medan,Books,3,1332781,3998343
ORD1069,2022-12-06,CUST034,Jakarta,Sports,5,677842,3389210
ORD1070,2022-02-24,CUST007,Bandung,Home & Kitchen,1,1915862,1915862
ORD1071,2022-11-06,CUST048,Yogyakarta,Clothing,3,640885,1922655
ORD1072,2022-11-21,CUST014,Bali,Home & Kitchen,2,1491785,2983570
ORD1073,2022-01-27,CUST017,Yogyakarta,Beauty,3,1948628,5845884
ORD1074,2022-01-02,CUST006,Bali,Beauty,3,142456,427368
ORD1075,2022-08-15,CUST022,Makassar,Clothing,3,388861,1166583
ORD1076,2022-02-27,CUST036,Bali,Beauty,5,70278,351390
ORD1077,2022-07-09,CUST005,Bali,Clothing,5,125556,627780
ORD1078,2022-01-22,CUST038,Yogyakarta,Clothing,4,317272,1269088
ORD1079,2022-12-16,CUST020,Surabaya,Electronics,3,490562,1471686
ORD1080,2022-10-14,CUST016,Bali,Electronics,3,1686022,5058066
ORD1081,2022-05-02,CUST027,Yogyakarta,Sports,2,1991467,3982934
ORD1082,2022-04-02,CUST011,Makassar,Clothing,4,101980,407920
ORD1083,2022-03-23,CUST048,Surabaya,Beauty,2,609532,1219064
ORD1084,2022-08-29,CUST045,Jakarta,Beauty,1,1850600,1850600
ORD1085,2022-04-27,CUST015,Bandung,Beauty,3,690031,2070093
ORD1086,2022-06-18,CUST015,Jakarta,Sports,2,885643,1771286
ORD1087,2022-11-25,CUST018,Makassar,Electronics,3,786406,2359218
ORD1088,2022-01-15,CUST033,Medan,Sports,5,744471,3722355
ORD1089,2022-01-20,CUST008,Surabaya,Clothing,5,606723,3033615
ORD1090,2022-06-10,CUST007,Yogyakarta,Beauty,3,1577869,4733607
ORD1091,2022-10-23,CUST028,Yogyakarta,Books,1,857813,857813
ORD1092,2022-09-24,CUST013,Surabaya,Electronics,4,53546,214184
ORD1093,2022-08-09,CUST035,Bali,Sports,2,813827,1627654
ORD1094,2022-12-06,CUST005,Bali,Home & Kitchen,5,708328,3541640
ORD1095,2022-12-08,CUST008,Bali,Home & Kitchen,5,698616,3493080
ORD1096,2022-03-07,CUST027,Surabaya,Beauty,3,1212687,3638061
ORD1097,2022-03-31,CUST013,Medan,Sports,4,1470438,5881752
ORD1098,2022-01-01,CUST040,Yogyakarta,Home & Kitchen,4,1199107,4796428
ORD1099,2022-10-24,CUST020,Surabaya,Clothing,4,1697855,6791420
ORD1100,2022-08-15,CUST039,Bali,Home & Kitchen,4,976492,3905968
ORD1101,2022-03-28,CUST044,Bandung,Books,4,1714583,6858332
ORD1102,2022-11-21,CUST043,Jakarta,Home & Kitchen,5,1442202,7211010
ORD1103,2022-06-08,CUST040,Surabaya,Electronics,2,1460954,2921908
ORD1104,2022-01-24,CUST015,Makassar,Clothing,2,101223,202446
ORD1105,2022-08-01,CUST016,Medan,Books,1,1005076,1005076
ORD1106,2022-07-24,CUST041,Yogyakarta,Clothing,4,1086784,4347136
ORD1107,2022-02-24,CUST016,Bandung,Sports,1,1922043,1922043
ORD1108,2022-12-23,CUST050,Medan,Clothing,2,1736340,3472680
ORD1109,2022-03-04,CUST034,Medan,Electronics,5,572606,2863030
ORD1110,2022-11-01,CUST030,Bandung,Beauty,5,1222151,6110755
ORD1111,2022-09-16,CUST021,Makassar,Beauty,5,1759192,8795960
ORD1112,2022-03-23,CUST028,Makassar,Books,4,1931581,7726324
ORD1113,2022-05-07,CUST048,Makassar,Beauty,4,593564,2374256
ORD1114,2022-05-03,CUST041,Surabaya,Books,4,1364386,5457544
ORD1115,2022-05-20,CUST018,Medan,Electronics,3,541768,1625304
ORD1116,2022-03-19,CUST022,Surabaya,Books,1,340191,340191
ORD1117,2022-04-20,CUST015,Medan,Sports,2,1531468,3062936
ORD1118,2022-08-27,CUST005,Medan,Beauty,3,1187938,3563814
ORD1119,2022-10-27,CUST027,Jakarta,Clothing,4,866792,3467168
ORD1120,2022-01-04,CUST045,Jakarta,Books,4,1050299,4201196
ORD1121,2022-10-07,CUST023,Surabaya,Beauty,4,1178730,4714920
ORD1122,2022-08-12,CUST039,Bandung,Beauty,2,622386,1244772
ORD1123,2022-12-14,CUST032,Jakarta,Beauty,3,1452729,4358187
ORD1124,2022-03-07,CUST026,Bali,Clothing,4,1978418,7913672
ORD1125,2022-10-16,CUST040,Yogyakarta,Electronics,4,1291289,5165156
ORD1126,2022-08-25,CUST043,Jakarta,Electronics,4,334582,1338328
ORD1127,2022-04-19,CUST012,Jakarta,Home & Kitchen,4,736508,2946032
ORD1128,2022-08-04,CUST030,Surabaya,Home & Kitchen,4,633546,2534184
ORD1129,2022-10-04,CUST017,Makassar,Electronics,4,90649,362596
ORD1130,2022-11-30,CUST004,Surabaya,Clothing,1,1688364,1688364
ORD1131,2022-01-11,CUST003,Makassar,Electronics,2,468089,936178
ORD1132,2022-12-09,CUST040,Bandung,Clothing,2,1043129,2086258
ORD1133,2022-05-12,CUST008,Yogyakarta,Clothing,4,1516884,6067536
ORD1134,2022-02-28,CUST050,Surabaya,Clothing,5,1323490,6617450
ORD1135,2022-10-24,CUST050,Makassar,Clothing,3,276699,830097
ORD1136,2022-04-12,CUST002,Surabaya,Books,4,881844,3527376
ORD1137,2022-12-23,CUST005,Yogyakarta,Sports,2,263702,527404
ORD1138,2022-03-03,CUST050,Surabaya,Sports,5,1739314,8696570
ORD1139,2022-08-08,CUST037,Makassar,Electronics,3,1167247,3501741
ORD1140,2022-06-24,CUST043,Surabaya,Electronics,5,1407996,7039980
ORD1141,2022-08-10,CUST001,Makassar,Beauty,4,271331,1085324
ORD1142,2022-04-01,CUST024,Bali,Beauty,2,963282,1926564
ORD1143,2022-10-03,CUST047,Yogyakarta,Sports,3,1341661,4024983
ORD1144,2022-10-31,CUST050,Medan,Beauty,4,1781690,7126760
ORD1145,2022-08-19,CUST018,Surabaya,Clothing,1,634954,634954
ORD1146,2022-12-09,CUST016,Makassar,Beauty,5,1329958,6649790
ORD1147,2022-06-16,CUST025,Surabaya,Electronics,4,1834577,7338308
ORD1148,2022-05-13,CUST012,Medan,Clothing,3,1723175,5169525
ORD1149,2022-01-06,CUST022,Surabaya,Books,3,1215578,3646734
ORD1150,2022-07-28,CUST034,Bandung,Electronics,2,1560106,3120212
ORD1151,2022-12-31,CUST032,Yogyakarta,Clothing,4,1404556,5618224
ORD1152,2022-04-24,CUST032,Medan,Electronics,1,667056,667056
ORD1153,2022-10-25,CUST026,Bali,Clothing,3,1442425,4327275
ORD1154,2022-08-06,CUST024,Medan,Books,5,770911,3854555
ORD1155,2022-08-21,CUST048,Yogyakarta,Home & Kitchen,3,1523993,4571979
ORD1156,2022-04-09,CUST018,Surabaya,Home & Kitchen,2,303033,606066
ORD1157,2022-12-20,CUST021,Jakarta,Sports,5,1648427,8242135
ORD1158,2022-10-29,CUST012,Bandung,Clothing,4,629861,2519444
ORD1159,2022-04-10,CUST049,Yogyakarta,Books,3,260818,782454
ORD1160,2022-01-08,CUST019,Bandung,Home & Kitchen,2,683901,1367802
ORD1161,2022-01-28,CUST046,Yogyakarta,Clothing,3,145453,436359
ORD1162,2022-09-09,CUST036,Surabaya,Sports,2,1387709,2775418
ORD1163,2022-08-29,CUST007,Makassar,Electronics,5,646302,3231510
ORD1164,2022-05-10,CUST031,Medan,Home & Kitchen,2,157744,315488
ORD1165,2022-02-07,CUST031,Jakarta,Electronics,4,1081267,4325068
ORD1166,2022-03-18,CUST037,Bali,Sports,1,368194,368194
ORD1167,2022-10-13,CUST037,Surabaya,Electronics,2,298410,596820
ORD1168,2022-11-13,CUST049,Medan,Books,5,1708303,8541515
ORD1169,2022-08-15,CUST015,Makassar,Books,4,994797,3979188
ORD1170,2022-10-19,CUST020,Makassar,Books,4,690428,2761712
ORD1171,2022-04-17,CUST040,Jakarta,Books,1,1649575,1649575
ORD1172,2022-05-03,CUST041,Bandung,Home & Kitchen,1,379372,379372
ORD1173,2022-07-29,CUST012,Yogyakarta,Electronics,2,55611,111222
ORD1174,2022-01-17,CUST029,Bali,Books,4,660815,2643260
ORD1175,2022-08-21,CUST015,Surabaya,Sports,3,1524271,4572813
ORD1176,2022-11-17,CUST005,Bali,Clothing,3,1702195,5106585
ORD1177,2022-10-06,CUST038,Bali,Clothing,4,290703,1162812
ORD1178,2022-03-14,CUST015,Bali,Clothing,3,1783571,5350713
ORD1179,2022-10-19,CUST005,Jakarta,Clothing,3,1297897,3893691
ORD1180,2022-06-05,CUST019,Medan,Electronics,4,1494262,5977048
ORD1181,2022-09-10,CUST045,Medan,Home & Kitchen,5,1182423,5912115
ORD1182,2022-08-10,CUST029,Jakarta,Books,1,1915254,1915254
ORD1183,2022-02-16,CUST048,Surabaya,Books,3,104242,312726
ORD1184,2022-12-11,CUST015,Bali,Books,5,93506,467530
ORD1185,2022-09-23,CUST018,Yogyakarta,Electronics,2,1036711,2073422
ORD1186,2022-08-12,CUST042,Medan,Home & Kitchen,2,1277525,2555050
ORD1187,2022-06-28,CUST041,Makassar,Beauty,1,1035683,1035683
ORD1188,2022-03-24,CUST027,Surabaya,Home & Kitchen,1,1848796,1848796
ORD1189,2022-12-06,CUST022,Medan,Sports,4,654436,2617744
ORD1190,2022-02-15,CUST026,Makassar,Books,1,1003839,1003839
ORD1191,2022-07-26,CUST021,Surabaya,Home & Kitchen,1,1670150,1670150
ORD1192,2022-07-31,CUST033,Makassar,Electronics,5,1018834,5094170
ORD1193,2022-09-13,CUST004,Bandung,Books,3,1355757,4067271
ORD1194,2022-10-09,CUST041,Medan,Electronics,2,610057,1220114
ORD1195,2022-01-15,CUST009,Surabaya,Beauty,4,304648,1218592
ORD1196,2022-10-10,CUST041,Yogyakarta,Clothing,2,701690,1403380
ORD1197,2022-02-28,CUST001,Yogyakarta,Beauty,1,521231,521231
ORD1198,2022-05-30,CUST030,Jakarta,Sports,2,1095169,2190338
ORD1199,2022-09-05,CUST033,Bali,Home & Kitchen,4,1800542,7202168
